Uniq1;size=2279;	otu1	*
Uniq336;size=2;	match	dqt=6;top=Chimera3(97.6%);
Uniq337;size=2;	match	dqt=1;top=OTU_3(99.6%);
Uniq338;size=2;	match	dqt=4;top=OTU_5(98.4%);
Uniq339;size=2;	perfect_chimera	dqt=12;top=Chimera25(95.2%);dqm=0;div=4.8;segs=2;parents=Chimera25(1-149/0)+Chimera44(149-248/0);
Uniq340;size=2;	match	dqt=1;top=OTU_3(99.6%);
Uniq341;size=2;	match	dqt=2;top=Chimera14(99.2%);
Uniq342;size=2;	match	dqt=2;top=Chimera22(99.2%);
Uniq343;size=2;	match	dqt=5;top=Chimera2(98.0%);
Uniq344;size=2;	match	dqt=1;top=OTU_2(99.6%);
Uniq345;size=2;	match	dqt=1;top=OTU_3(99.6%);
Uniq346;size=2;	perfect_chimera	dqt=10;top=Chimera2(96.0%);dqm=0;div=4.0;segs=2;parents=Chimera2(1-102/0)+OTU_6(102-248/0);
Uniq347;size=2;	match	dqt=6;top=Chimera1(97.6%);
Uniq348;size=2;	match	dqt=1;top=OTU_2(99.6%);
Uniq349;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq350;size=2;	match	dqt=1;top=OTU_2(99.6%);
Uniq351;size=2;	match	dqt=6;top=OTU_7(97.6%);
Uniq352;size=2;	match	dqt=1;top=OTU_2(99.6%);
Uniq353;size=2;	match	dqt=5;top=Chimera2(98.0%);
Uniq354;size=2;	match	dqt=1;top=OTU_2(99.6%);
Uniq355;size=2;	match	dqt=2;top=Chimera61(99.2%);
Uniq356;size=2;	match	dqt=1;top=OTU_3(99.6%);
Uniq357;size=2;	perfect_chimera	dqt=6;top=Chimera41(97.6%);dqm=0;div=2.4;segs=2;parents=Chimera41(1-73/0)+OTU_6(74-248/0);
Uniq358;size=2;	match	dqt=2;top=Chimera47(99.2%);
Uniq359;size=2;	match	dqt=3;top=Chimera2(98.8%);
Uniq360;size=2;	perfect_chimera	dqt=10;top=OTU_11(96.0%);dqm=0;div=4.0;segs=2;parents=OTU_11(1-136/0)+OTU_3(137-249/0);
